date,contract,contract month(Week),open,high,low,last,Change,%,volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low
2013/3/1,XIF,201303,10788,10811,10769,10792,89,0.83%,90,10792,621,10794,10801,10914,9968
2013/3/1,XIF,201304,10776,10791,10751,10781,87,0.81%,19,10781,32,10777,10784,10871,10678
2013/3/1,XIF,201306,-,-,-,-,-,-,-,10741,3,10720,10771,10725,10725
2013/3/1,XIF,201309,-,-,-,-,-,-,-,10437,2,10404,10570,-,-
2013/3/1,XIF,201312,-,-,-,-,-,-,-,10319,0,10216,10550,-,-
2013/3/1,TX ,201303,7945,7950,7920,7936,57,0.72%,44461,7936,53687,7935,7936,8021,6532
2013/3/1,TX ,201304,7944,7944,7914,7925,55,0.70%,573,7925,1493,7924,7926,7988,7853
2013/3/1,TX ,201306,7897,7910,7897,7904,57,0.73%,66,7904,1480,7900,7904,7981,6642
2013/3/1,TX ,201309,7650,7672,7650,7666,51,0.67%,34,7666,788,7666,7668,7745,6723
2013/3/1,TX ,201312,7637,7641,7625,7637,55,0.73%,29,7637,289,7635,7638,7715,7280
2013/3/1,TGF,201304,5703,5703.5,5667,5676,-107,-1.85%,222,5676.5,584,5674,5677.5,6155,5600
2013/3/1,TGF,201306,5693,5693,5660.5,5666,-116,-2.01%,141,5666,157,5663.5,5666,6312.5,5600.5
2013/3/1,TGF,201308,5684.5,5684.5,5660.5,5667.5,-109,-1.89%,3,5667.5,11,5654,5665.5,6129,5592
2013/3/1,TGF,201310,5667,5667,5667,5667,-100.5,-1.74%,1,5667,15,5637,5666,6164,5586
2013/3/1,TGF,201312,5665,5684.5,5643,5666,-101.5,-1.76%,21,5666,40,5623.5,5666,5978,5580
2013/3/1,TGF,201402,5658,5658,5651,5651,-99,-1.72%,3,5651,3,5628,5675,5658,5651
2013/3/1,TF ,201303,925.6,929.8,921.4,924,4.4,0.48%,2900,924,5394,924,924.2,941.4,714
2013/3/1,TF ,201304,922,929,921,924,4.6,0.50%,37,924,59,923.4,924,936.6,910.4
2013/3/1,TF ,201306,924.2,924.2,924.2,924.2,6.8,0.74%,2,924.2,16,921.2,923.4,937.8,750
2013/3/1,TF ,201309,-,-,-,-,-,-,-,913.4,12,912,915,915.6,736.8
2013/3/1,TF ,201312,908.2,908.8,908.2,908.8,4.8,0.53%,2,908.8,1,896.2,913.6,908.8,908
2013/3/1,TE ,201303,295.6,296,294.5,295.4,2.05,0.70%,2347,295.3,3898,295.3,295.4,299.3,250
2013/3/1,TE ,201304,294.55,295,294.1,295,2,0.68%,18,295,36,294.8,294.9,297.5,291.5
2013/3/1,TE ,201306,-,-,-,-,-,-,-,293.05,11,292.35,294.15,297.3,272.95
2013/3/1,TE ,201309,-,-,-,-,-,-,-,286.2,9,285.15,288.1,284.6,256.3
2013/3/1,TE ,201312,-,-,-,-,-,-,-,282.65,0,275.2,287.85,-,-
2013/3/1,T5F,201303,-,-,-,-,-,-,-,5555,2,5482,5628,5600,5001
2013/3/1,T5F,201304,-,-,-,-,-,-,-,5571,0,5330,5740,-,-
2013/3/1,T5F,201306,-,-,-,-,-,-,-,5453,0,5260,5740,-,-
2013/3/1,T5F,201309,-,-,-,-,-,-,-,5455,0,5160,5690,-,-
2013/3/1,T5F,201312,-,-,-,-,-,-,-,5264,0,4960,5580,-,-
2013/3/1,MTX,201303,7937,7950,7921,7935,56,0.71%,26406,7936,23985,7935,7936,8020,6536
2013/3/1,MTX,201304,7921,7938,7913,7927,57,0.72%,1043,7925,1688,7925,7927,7985,7852
2013/3/1,MTX,201306,7888,7917,7888,7905,58,0.74%,175,7904,1591,7902,7904,7983,6640
2013/3/1,MTX,201309,7645,7673,7645,7668,53,0.70%,101,7666,1612,7665,7669,7746,6713
2013/3/1,MTX,201312,7630,7647,7628,7638,56,0.74%,53,7637,541,7635,7638,7717,7275
2013/3/1,LZF,201303,210.5,212,210.5,212,3,1.44%,10,212,9,203.5,-,212,201
2013/3/1,LZF,201304,211.5,211.5,211.5,211.5,1.5,0.71%,2,212.5,3,-,212.5,211.5,203
2013/3/1,LZF,201306,-,-,-,-,-,-,-,212.5,0,-,-,-,-
2013/3/1,LZF,201309,-,-,-,-,-,-,-,213.5,0,-,-,-,-
2013/3/1,LZF,201312,-,-,-,-,-,-,-,214,0,-,-,-,-
2013/3/1,LYF,201303,-,-,-,-,-,-,-,33.65,2,32.3,34.95,34.3,34
2013/3/1,LYF,201304,-,-,-,-,-,-,-,33.65,7,32.15,35.05,35.3,34.85
2013/3/1,LYF,201306,-,-,-,-,-,-,-,33.6,3,32.9,-,35.2,33.45
2013/3/1,LYF,201309,-,-,-,-,-,-,-,33.85,0,-,-,-,-
2013/3/1,LYF,201312,-,-,-,-,-,-,-,33.95,0,-,-,-,-
2013/3/1,LXF,201303,-,-,-,-,-,-,-,9.06,0,8.73,9.44,-,-
2013/3/1,LXF,201304,-,-,-,-,-,-,-,9.07,25,8.68,9.49,9.06,9.01
2013/3/1,LXF,201306,-,-,-,-,-,-,-,9.08,0,-,-,-,-
2013/3/1,LXF,201309,-,-,-,-,-,-,-,9.11,0,-,-,-,-
2013/3/1,LXF,201312,-,-,-,-,-,-,-,9.13,0,-,-,-,-
2013/3/1,LWF,201303,123.5,130,123.5,130,8.5,7.00%,15,130,24,127.5,-,132,116
2013/3/1,LWF,201304,-,-,-,-,-,-,-,130.5,11,-,-,129.5,118
2013/3/1,LWF,201306,-,-,-,-,-,-,-,131,4,-,-,122.5,122
2013/3/1,LWF,201309,-,-,-,-,-,-,-,131,0,-,-,-,-
2013/3/1,LWF,201312,-,-,-,-,-,-,-,131,0,-,-,-,-
2013/3/1,LVF,201303,83.8,85.7,83.7,84.5,1.5,1.81%,17,84.5,37,84.1,85.1,85.7,65.8
2013/3/1,LVF,201304,85,85.1,84.5,84.5,1.5,1.81%,5,84.5,5,83.6,85.1,85.1,81.5
2013/3/1,LVF,201306,-,-,-,-,-,-,-,84.2,0,-,-,-,-
2013/3/1,LVF,201309,-,-,-,-,-,-,-,84.4,0,-,-,-,-
2013/3/1,LVF,201312,-,-,-,-,-,-,-,84.3,0,-,-,-,-
2013/3/1,LUF,201303,68.1,68.1,66.9,66.9,-0.2,-0.30%,5,66.9,19,66.4,67.4,72.8,66.5
2013/3/1,LUF,201304,66.9,66.9,66.9,66.9,0,0.00%,1,66.9,22,64.2,67.5,70.3,66.5
2013/3/1,LUF,201306,-,-,-,-,-,-,-,66.8,0,-,-,-,-
2013/3/1,LUF,201309,-,-,-,-,-,-,-,67.1,0,-,-,-,-
2013/3/1,LUF,201312,-,-,-,-,-,-,-,66.5,0,-,-,-,-
2013/3/1,LTF,201303,-,-,-,-,-,-,-,68.9,29,68.1,69.4,75.3,66.9
2013/3/1,LTF,201304,-,-,-,-,-,-,-,68.7,17,68.2,69.4,68.3,67
2013/3/1,LTF,201306,-,-,-,-,-,-,-,69.6,2,-,-,69.7,69.6
2013/3/1,LTF,201309,-,-,-,-,-,-,-,68.7,2,-,-,70.9,70.8
2013/3/1,LTF,201312,-,-,-,-,-,-,-,70,1,-,-,71,71
2013/3/1,LSF,201303,-,-,-,-,-,-,-,71.7,15,70.6,72.2,73.3,65.1
2013/3/1,LSF,201304,-,-,-,-,-,-,-,71.7,1,70.6,72.3,72.2,72.2
2013/3/1,LSF,201306,-,-,-,-,-,-,-,72.1,0,-,-,-,-
2013/3/1,LSF,201309,-,-,-,-,-,-,-,72.3,0,-,-,-,-
2013/3/1,LSF,201312,-,-,-,-,-,-,-,72.5,0,-,-,-,-
2013/3/1,LRF,201303,8.94,8.96,8.83,8.83,0.01,0.11%,56,8.83,347,8.81,8.93,9.4,7.64
2013/3/1,LRF,201304,8.92,8.93,8.88,8.88,-0.01,-0.11%,26,8.88,148,8.83,9.02,9.18,8.75
2013/3/1,LRF,201306,-,-,-,-,-,-,-,8.81,18,-,-,9.1,7.85
2013/3/1,LRF,201309,-,-,-,-,-,-,-,8.76,55,-,-,8.8,7.6
2013/3/1,LRF,201312,-,-,-,-,-,-,-,8.91,25,-,-,8.94,7.77
2013/3/1,LQF,201303,11.8,11.8,11.7,11.7,-0.05,-0.43%,7,11.7,7,11.4,11.9,12,11.45
2013/3/1,LQF,201304,11.75,11.75,11.75,11.75,0,0.00%,10,11.65,1,11.3,11.95,11.9,11.7
2013/3/1,LQF,201306,-,-,-,-,-,-,-,11.6,0,-,-,-,-
2013/3/1,LQF,201309,-,-,-,-,-,-,-,11.65,0,-,-,-,-
2013/3/1,LQF,201312,-,-,-,-,-,-,-,11.7,0,-,-,-,-
2013/3/1,LPF,201303,72.7,74.3,72.7,73.2,0.4,0.55%,15,73.2,41,72.9,73.8,76.6,63.8
2013/3/1,LPF,201304,72.7,72.7,72.6,72.6,0.2,0.28%,10,72.6,31,72.1,73.8,76,71.7
2013/3/1,LPF,201306,-,-,-,-,-,-,-,73.4,0,-,-,-,-
2013/3/1,LPF,201309,-,-,-,-,-,-,-,73.6,0,-,-,-,-
2013/3/1,LPF,201312,-,-,-,-,-,-,-,73.6,0,-,-,-,-
2013/3/1,LOF,201303,17.1,17.1,17.05,17.1,0.05,0.29%,988,17.1,1047,16.9,17.15,17.65,15.15
2013/3/1,LOF,201304,17.1,17.1,17.05,17.1,0.05,0.29%,1051,17.1,1017,16.85,17.2,17.25,17.05
2013/3/1,LOF,201306,17.1,17.15,17.1,17.15,0.05,0.29%,18,17.15,223,-,17.2,17.45,15.25
2013/3/1,LOF,201309,17.15,17.15,17.15,17.15,0.05,0.29%,2,17.15,358,-,-,17.25,16.3
2013/3/1,LOF,201312,17.15,17.2,17.15,17.2,0,0.00%,40,17.2,485,17,17.25,17.55,16.55
2013/3/1,LO1,201303,17.35,17.35,17.3,17.35,0,0.00%,55,17.35,220,-,17.35,18.2,16.55
2013/3/1,LNF,201303,77.4,78,77.1,78,2.1,2.77%,23,78,140,77.2,78,78.5,67.3
2013/3/1,LNF,201304,77.3,77.3,76.9,77.2,0.9,1.18%,26,77.2,42,76.3,78,78.1,74.2
2013/3/1,LNF,201306,-,-,-,-,-,-,-,78,0,-,-,-,-
2013/3/1,LNF,201309,-,-,-,-,-,-,-,78,0,-,-,-,-
2013/3/1,LNF,201312,-,-,-,-,-,-,-,77.9,0,-,-,-,-
2013/3/1,LMF,201303,150,153,150,153,8.5,5.88%,15,153,41,152.5,154,153,125
2013/3/1,LMF,201304,147,147,147,147,1.5,1.03%,1,153,3,151.5,154,147,139.5
2013/3/1,LMF,201306,-,-,-,-,-,-,-,154,0,-,-,-,-
2013/3/1,LMF,201309,-,-,-,-,-,-,-,154,0,-,154.5,-,-
2013/3/1,LMF,201312,-,-,-,-,-,-,-,154.5,0,-,154.5,-,-
2013/3/1,LM1,201303,-,-,-,-,-,-,-,153,385,-,-,145,104
2013/3/1,LLF,201303,17.95,17.95,17.85,17.85,0.05,0.28%,21,17.85,32,17.75,17.9,18.05,15.65
2013/3/1,LKF,201303,95.9,96.4,95.9,96.2,1.6,1.69%,14,96.2,14,96,96.9,100,94.1
2013/3/1,LKF,201304,-,-,-,-,-,-,-,96.1,5,94.9,97,93.1,93.1
2013/3/1,LKF,201306,-,-,-,-,-,-,-,96.6,0,-,-,-,-
2013/3/1,LKF,201309,-,-,-,-,-,-,-,97.1,0,-,-,-,-
2013/3/1,LKF,201312,-,-,-,-,-,-,-,95.9,0,-,-,-,-
2013/3/1,LJF,201303,-,-,-,-,-,-,-,91.1,6,90.5,91.1,90.9,88.3
2013/3/1,LJF,201306,-,-,-,-,-,-,-,90.8,0,90,90.6,90.1,88.2
2013/3/1,LJF,201309,-,-,-,-,-,-,-,91.7,0,-,-,-,-
2013/3/1,LIF,201303,93.4,93.6,91.6,92.6,-0.4,-0.43%,28,92.6,106,92.2,92.6,101,91.6
2013/3/1,LIF,201304,92.2,92.2,92.2,92.2,-0.9,-0.97%,3,92.2,8,91.8,93,95.6,92.2
2013/3/1,LIF,201306,-,-,-,-,-,-,-,92.7,1,-,92.7,93.8,89.9
2013/3/1,LIF,201309,-,-,-,-,-,-,-,93.4,0,-,-,-,-
2013/3/1,LIF,201312,-,-,-,-,-,-,-,93.9,0,-,-,-,-
2013/3/1,LHF,201303,-,-,-,-,-,-,-,42.7,10,42.35,43.85,43.3,40.1
2013/3/1,LHF,201304,-,-,-,-,-,-,-,42.45,5,41.85,43.35,42.45,42.3
2013/3/1,LHF,201306,-,-,-,-,-,-,-,42.75,0,-,-,-,-
2013/3/1,LHF,201309,-,-,-,-,-,-,-,43.15,0,-,-,-,-
2013/3/1,LHF,201312,-,-,-,-,-,-,-,43,0,-,-,-,-
2013/3/1,LGF,201303,43.3,43.3,43,43.25,1.15,2.73%,4,43,13,42.85,43.1,43.65,39.45
2013/3/1,LGF,201306,43.05,43.05,43.05,43.05,0.7,1.65%,1,43.05,17,42.7,42.95,43.05,40.5
2013/3/1,LEF,201303,195.5,197,194,194,-1.5,-0.77%,8,197,79,195,197.5,213,194
2013/3/1,LEF,201304,194.5,194.5,191.5,191.5,-2.5,-1.29%,2,195.5,10,192.5,196,209,191.5
2013/3/1,LEF,201306,-,-,-,-,-,-,-,197.5,1,191,197,193.5,193.5
2013/3/1,LEF,201309,-,-,-,-,-,-,-,199,0,-,-,-,-
2013/3/1,LEF,201312,-,-,-,-,-,-,-,201.5,0,-,-,-,-
2013/3/1,LDF,201303,25.05,25.05,25.05,25.05,0.3,1.21%,5,24.85,23,24.45,25.25,26.3,24.35
2013/3/1,LDF,201304,25,25,24.9,24.9,0.05,0.20%,15,24.9,10,24.4,25.25,25.95,24.85
2013/3/1,LDF,201306,-,-,-,-,-,-,-,24.6,0,-,-,-,-
2013/3/1,LDF,201309,-,-,-,-,-,-,-,24.75,0,-,-,-,-
2013/3/1,LDF,201312,-,-,-,-,-,-,-,24.8,0,-,-,-,-
2013/3/1,LCF,201303,-,-,-,-,-,-,-,104,46,103,106,110,93.3
2013/3/1,LCF,201304,-,-,-,-,-,-,-,104,4,102.5,105.5,104.5,103
2013/3/1,LCF,201306,-,-,-,-,-,-,-,104.5,29,-,-,113,95.4
2013/3/1,LCF,201309,-,-,-,-,-,-,-,102.5,2,-,-,105,103
2013/3/1,LCF,201312,-,-,-,-,-,-,-,104.5,0,-,-,-,-
2013/3/1,LBF,201303,61.6,62.8,61.6,62.8,0.9,1.45%,16,62.1,35,61.4,62.8,62.8,56.6
2013/3/1,LBF,201304,62.5,62.5,62.5,62.5,0.9,1.46%,8,61.9,31,60.9,62.8,62.5,60.3
2013/3/1,LBF,201306,-,-,-,-,-,-,-,62.4,1,-,-,60.2,57.7
2013/3/1,LBF,201309,-,-,-,-,-,-,-,61.4,1,-,-,58.5,58.5
2013/3/1,LBF,201312,-,-,-,-,-,-,-,61.4,1,-,-,58.5,58.5
